reo@speech	reo@	00:06:01.915	361.915	00:06:02.375	362.375	00:00:00.460	0.46	не'т
reo@speech	reo@	00:06:02.670	362.67	00:06:03.640	363.64	00:00:00.970	0.97	с [друго'й] стороны
reo@speech	reo@	00:06:03.660	363.66	00:06:04.530	364.53	00:00:00.870	0.87	[laughter]
reo@speech	reo@	00:06:11.935	371.935	00:06:12.295	372.295	00:00:00.360	0.36	все'
reo@speech	reo@	00:06:12.610	372.61	00:06:16.090	376.09	00:00:03.480	3.48	на [зда'нии], но то'лько не на [изви'листом], а на [ба'шне]
reo@speech	reo@	00:06:17.500	377.5	00:06:19.480	379.48	00:00:01.980	1.98	а ты' г сказа'ла зда'ние [изви'листое]
reo@speech	reo@	00:06:20.550	380.55	00:06:21.040	381.04	00:00:00.490	0.49	не'т
reo@speech	reo@	00:06:21.060	381.06	00:06:22.010	382.01	00:00:00.950	0.95	э'то вот [зда'ние]
reo@speech	reo@	00:06:22.520	382.52	00:06:22.820	382.82	00:00:00.300	0.3	а
reo@speech	reo@	00:06:22.845	382.845	00:06:25.080	385.08	00:00:02.235	2.235	от нее' [иде'т] как [стена'] така'я
reo@speech	reo@	00:06:29.270	389.27	00:06:29.900	389.9	00:00:00.630	0.63	нуу
reo@speech	reo@	00:06:30.070	390.07	00:06:31.285	391.285	00:00:01.215	1.215	Не совсе'м на [се'вере]
reo@speech	reo@	00:06:31.690	391.69	00:06:32.750	392.75	00:00:01.060	1.06	немно'жечко [скра'ю]
reo@speech	reo@	00:06:33.610	393.61	00:06:34.180	394.18	00:00:00.570	0.57	кра'ю, кра'ю
reo@speech	reo@	00:06:35.967	395.967	00:06:36.190	396.19	00:00:00.223	0.223	да'
reo@speech	reo@	00:06:36.203	396.203	00:06:37.023	397.023	00:00:00.820	0.82	ближе к [за'паду]
reo@speech	reo@	00:06:41.054	401.054	00:06:41.494	401.494	00:00:00.440	0.44	не'т
reo@speech	reo@	00:06:47.160	407.16	00:06:48.119	408.119	00:00:00.959	0.959	ну [почти']
reo@speech	reo@	00:06:48.959	408.959	00:06:49.399	409.399	00:00:00.440	0.44	ря'дышком
reo@speech	reo@	00:06:50.150	410.15	00:06:50.859	410.859	00:00:00.709	0.709	че'реп
